question,answer,difficulty,topic,data_science_question
Is it possible to have a variable that has values of one and zero at the same time?,,,,0
How many times have you heard the phrase “I’m just a little bit bored”?,,,,0
What is the difference between Linear Regression and Ridge Regression?,Answer here,beginner,supervised learning,1
What are the different ways to use gradient boosting trees for text classification?,Answer here,advanced,text classification,1
Can you tell us how you approach the model training process?,Answer here,intermediate,neural networks,1
What is the difference between convolutional layers and fully-connected layers?,Answer here,advanced,neural networks,1
How do I go about building a recommender system?,Answer here,intermediate,recommender systems,1
What do you think is the biggest difference between people who are successful and those who aren’t?,,,,0
How many times have you been to the beach?,,,,0
If I were to write a novel would it be set in the future or the past?,,,,0
Is there an easy way to find the value of $a$ in the following system of equations?,,,,0
What is CNN (Convolutional Neural Network) and how does it work?,Answer here,advanced,neural networks,1
What is the difference between Random Forest and Gradient Boosting Tree?,Answer here,intermediate,feature selection,1
What is transfer learning?,Answer here,intermediate,neural networks,1
How do we interpret the weights in linear models?,Answer here,intermediate,regularization,1
How many of you have been in a situation where you’ve thought to yourself “If only I had known then what I know now…”?,,,,0
What are the problems with the gradient descent algorithm?,Answer here,intermediate,unsupervised learning,1
Do you have any recommendations for a good place to buy used books online?,,,,0
How do you get a handle on how to deal with a problem?,,,,0
What is time series?,Answer here,beginner,time series,1
How would you approach the cold start problem?,Answer here,intermediate,recommender systems,1
